dauer,modus,kognition
8,a1 telefon,b1 altersadaequat
16,a1 telefon,b1 altersadaequat
12,a1 telefon,b1 altersadaequat
7,a1 telefon,b1 altersadaequat
17,a1 telefon,b1 altersadaequat
20,a1 telefon,b2 lkb
26,a1 telefon,b2 lkb
20,a1 telefon,b2 lkb
14,a1 telefon,b2 lkb
20,a1 telefon,b2 lkb
10,a1 telefon,b3 begdem
7,a1 telefon,b3 begdem
11,a1 telefon,b3 begdem
9,a1 telefon,b3 begdem
13,a1 telefon,b3 begdem
15,a2 besuch,b1 altersadaequat
25,a2 besuch,b1 altersadaequat
22,a2 besuch,b1 altersadaequat
19,a2 besuch,b1 altersadaequat
29,a2 besuch,b1 altersadaequat
32,a2 besuch,b2 lkb
27,a2 besuch,b2 lkb
26,a2 besuch,b2 lkb
20,a2 besuch,b2 lkb
25,a2 besuch,b2 lkb
30,a2 besuch,b3 begdem
21,a2 besuch,b3 begdem
33,a2 besuch,b3 begdem
39,a2 besuch,b3 begdem
27,a2 besuch,b3 begdem
