ID	Group	Item 1	Item 2	Item 3	Item 4	Item 5	Item 6	Item 7	Item 8	Item 9	Item 10	Item 11	Item 12	Item 13	Item 14	Item 15	Item 16	Item 17	Item 18	Item 19	Item 20	Item 21
1	1	4.000	3.000	4.000	5.000	2.000	3.000	2.000	2.000	3.000	5.000	3.000	2.000	4.000	33.000	4.000	2.000	2.000	2.000	3.000	3.000	4.000
2	0	4.000	4.000	3.000	4.000	4.000	5.000	3.000	3.000	4.000	5.000	3.000	2.000	3.000	4.000	3.000	3.000	4.000	3.000	2.000	4.000	4.000
3	1	1.000	3.000	4.000	3.000	3.000	4.000	4.000	3.000	4.000	4.000	3.000	3.000	2.000	3.000	4.000	2.000	1.000	5.000	3.000	4.000	1.000
4	1	3.000	3.000	5.000	3.000	2.000	3.000	1.000	3.000	2.000	3.000	3.000	4.000	3.000	2.000	3.000	3.000	3.000	4.000	4.000	2.000	5.000
5	1	3.000	3.000	2.000	5.000	4.000	4.000	4.000	3.000	4.000	5.000	3.000	4.000	2.000	2.000	2.000	1.000	1.000	2.000	2.000	1.000	2.000
6	0	3.000	3.000	2.000	2.000	2.000	3.000	2.000	2.000	2.000	1.000	4.000	3.000	4.000	3.000	5.000	2.000	2.000	3.000	3.000	2.000	4.000
7	1	4.000	3.000	4.000	3.000	4.000	3.000	4.000	4.000	3.000	4.000	4.000	2.000	4.000	3.000	NaN	1.000	3.000	3.000	2.000	3.000	3.000
8	0	3.000	3.000	2.000	4.000	2.000	5.000	3.000	4.000	4.000	2.000	1.000	2.000	4.000	3.000	2.000	4.000	2.000	4.000	4.000	1.000	2.000
9	0	5.000	2.000	3.000	3.000	1.000	2.000	4.000	4.000	3.000	2.000	3.000	1.000	3.000	4.000	3.000	2.000	5.000	3.000	1.000	4.000	3.000
10	0	3.000	5.000	4.000	1.000	4.000	4.000	1.000	3.000	3.000	4.000	3.000	4.000	2.000	3.000	3.000	4.000	3.000	1.000	5.000	1.000	2.000
11	0	4.000	4.000	2.000	3.000	3.000	4.000	1.000	3.000	3.000	2.000	3.000	3.000	3.000	5.000	3.000	2.000	4.000	3.000	2.000	2.000	2.000
12	0	1.000	2.000	3.000	4.000	5.000	1.000	2.000	3.000	4.000	5.000	1.000	2.000	3.000	4.000	5.000	1.000	2.000	3.000	4.000	5.000	1.000
13	1	NaN	3.000	1.000	3.000	2.000	2.000	3.000	3.000	3.000	2.000	4.000	2.000	3.000	2.000	3.000	3.000	3.000	3.000	4.000	4.000	3.000
14	1	3.000	1.000	2.000	3.000	4.000	4.000	3.000	4.000	3.000	4.000	4.000	4.000	3.000	3.000	3.000	4.000	4.000	3.000	3.000	2.000	3.000
15	1	5.000	5.000	4.000	3.000	2.000	2.000	4.000	1.000	2.000	3.000	2.000	3.000	3.000	5.000	3.000	1.000	4.000	4.000	4.000	2.000	2.000
16	1	4.000	2.000	4.000	3.000	4.000	4.000	2.000	2.000	3.000	4.000	3.000	2.000	2.000	2.000	4.000	3.000	3.000	4.000	4.000	3.000	2.000
17	0	2.000	2.000	1.000	2.000	2.000	2.000	3.000	2.000	3.000	2.000	2.000	3.000	4.000	1.000	2.000	3.000	5.000	3.000	3.000	2.000	3.000
18	0	NaN	3.000	3.000	4.000	3.000	3.000	1.000	4.000	3.000	5.000	3.000	1.000	1.000	2.000	2.000	3.000	3.000	2.000	3.000	4.000	5.000
19	1	4.000	3.000	3.000	3.000	4.000	5.000	3.000	1.000	3.000	2.000	3.000	3.000	3.000	3.000	4.000	2.000	2.000	4.000	3.000	2.000	2.000
20	1	2.000	3.000	3.000	4.000	4.000	3.000	3.000	2.000	4.000	3.000	3.000	3.000	2.000	2.000	1.000	2.000	2.000	3.000	4.000	4.000	4.000
21	1	3.000	3.000	2.000	2.000	2.000	4.000	1.000	3.000	3.000	3.000	3.000	2.000	5.000	4.000	4.000	3.000	3.000	4.000	4.000	4.000	4.000
22	0	2.000	2.000	2.000	2.000	3.000	1.000	2.000	2.000	1.000	4.000	4.000	3.000	2.000	3.000	4.000	2.000	5.000	5.000	3.000	3.000	3.000
23	0	4.000	3.000	2.000	5.000	3.000	3.000	4.000	4.000	2.000	3.000	1.000	3.000	2.000	4.000	6.000	3.000	2.000	5.000	4.000	4.000	1.000
24	0	1.000	3.000	4.000	2.000	2.000	4.000	2.000	4.000	3.000	4.000	2.000	1.000	2.000	4.000	4.000	4.000	2.000	4.000	2.000	4.000	4.000
25	0	5.000	2.000	3.000	3.000	3.000	2.000	4.000	2.000	3.000	3.000	2.000	3.000	2.000	3.000	2.000	2.000	3.000	3.000	3.000	3.000	4.000
26	0	2.000	3.000	4.000	3.000	4.000	3.000	4.000	3.000	1.000	2.000	2.000	5.000	3.000	3.000	4.000	4.000	4.000	1.000	1.000	4.000	3.000
27	1	5.000	4.000	2.000	3.000	2.000	4.000	5.000	33.000	3.000	3.000	2.000	4.000	2.000	4.000	1.000	3.000	2.000	4.000	2.000	2.000	3.000
28	0	3.000	2.000	3.000	4.000	2.000	3.000	4.000	3.000	2.000	4.000	4.000	3.000	3.000	3.000	3.000	3.000	3.000	3.000	3.000	1.000	1.000
29	1	2.000	3.000	2.000	4.000	3.000	5.000	5.000	3.000	4.000	4.000	2.000	4.000	5.000	2.000	1.000	3.000	2.000	2.000	3.000	3.000	2.000
30	0	3.000	1.000	3.000	3.000	3.000	4.000	2.000	4.000	4.000	5.000	1.000	5.000	3.000	1.000	4.000	5.000	4.000	2.000	3.000	3.000	3.000
31	0	3.000	3.000	2.000	2.000	4.000	3.000	3.000	3.000	3.000	1.000	1.000	3.000	3.000	4.000	3.000	NaN	3.000	2.000	3.000	3.000	4.000
32	1	3.000	2.000	3.000	3.000	2.000	2.000	5.000	3.000	2.000	2.000	2.000	3.000	1.000	4.000	3.000	3.000	2.000	3.000	3.000	1.000	3.000
33	0	3.000	3.000	3.000	4.000	1.000	2.000	2.000	2.000	3.000	3.000	NaN	3.000	3.000	4.000	5.000	4.000	3.000	3.000	3.000	4.000	1.000
34	1	3.000	2.000	3.000	3.000	2.000	2.000	4.000	4.000	3.000	3.000	4.000	5.000	3.000	1.000	3.000	2.000	2.000	2.000	4.000	4.000	5.000
35	0	3.000	4.000	3.000	4.000	3.000	3.000	1.000	4.000	4.000	2.000	1.000	3.000	3.000	3.000	4.000	3.000	4.000	4.000	4.000	4.000	22.000
36	0	3.000	2.000	3.000	2.000	4.000	5.000	2.000	3.000	NaN	3.000	3.000	3.000	5.000	4.000	2.000	3.000	3.000	3.000	4.000	5.000	2.000
37	0	4.000	4.000	44.000	NaN	2.000	4.000	3.000	3.000	4.000	2.000	4.000	4.000	NaN	2.000	2.000	4.000	4.000	1.000	1.000	4.000	5.000
38	1	1.000	2.000	3.000	4.000	5.000	1.000	2.000	3.000	4.000	5.000	1.000	2.000	3.000	4.000	5.000	1.000	2.000	3.000	4.000	5.000	1.000
39	0	3.000	4.000	2.000	2.000	2.000	3.000	3.000	4.000	4.000	3.000	6.000	2.000	3.000	2.000	5.000	NaN	3.000	3.000	6.000	2.000	2.000
40	1	2.000	2.000	2.000	4.000	5.000	3.000	2.000	3.000	3.000	44.000	4.000	3.000	3.000	4.000	4.000	5.000	3.000	4.000	2.000	3.000	3.000
41	0	1.000	1.000	2.000	3.000	3.000	1.000	3.000	5.000	2.000	5.000	4.000	2.000	4.000	4.000	4.000	1.000	5.000	2.000	3.000	4.000	3.000
42	1	3.000	3.000	5.000	3.000	2.000	4.000	2.000	3.000	4.000	1.000	4.000	2.000	4.000	1.000	2.000	3.000	2.000	3.000	3.000	3.000	2.000
43	1	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
44	0	4.000	4.000	2.000	4.000	3.000	2.000	2.000	2.000	3.000	3.000	3.000	3.000	2.000	4.000	4.000	2.000	2.000	3.000	2.000	4.000	3.000
45	1	4.000	4.000	5.000	4.000	3.000	5.000	3.000	3.000	3.000	4.000	2.000	3.000	2.000	4.000	4.000	2.000	2.000	3.000	4.000	4.000	2.000
46	0	4.000	2.000	2.000	44.000	2.000	2.000	5.000	4.000	4.000	3.000	4.000	4.000	2.000	3.000	4.000	4.000	3.000	4.000	3.000	4.000	2.000
47	0	4.000	4.000	2.000	2.000	4.000	3.000	2.000	3.000	5.000	4.000	2.000	4.000	3.000	4.000	4.000	3.000	5.000	3.000	1.000	2.000	3.000
48	1	3.000	2.000	3.000	3.000	2.000	3.000	5.000	2.000	1.000	2.000	4.000	3.000	2.000	1.000	2.000	3.000	3.000	4.000	4.000	2.000	3.000
49	1	4.000	2.000	1.000	3.000	5.000	2.000	4.000	3.000	33.000	5.000	1.000	4.000	2.000	3.000	2.000	2.000	2.000	4.000	4.000	4.000	2.000
50	0	3.000	4.000	1.000	4.000	3.000	4.000	3.000	4.000	2.000	3.000	3.000	3.000	2.000	3.000	2.000	2.000	2.000	3.000	4.000	3.000	2.000
51	0	3.000	3.000	3.000	1.000	3.000	2.000	3.000	4.000	4.000	4.000	2.000	5.000	3.000	2.000	4.000	4.000	2.000	4.000	4.000	3.000	4.000
52	1	2.000	3.000	4.000	3.000	4.000	5.000	2.000	2.000	3.000	3.000	3.000	2.000	3.000	3.000	2.000	2.000	3.000	3.000	1.000	3.000	5.000
53	0	2.000	3.000	2.000	3.000	3.000	3.000	3.000	6.000	4.000	3.000	3.000	2.000	5.000	3.000	3.000	3.000	3.000	3.000	3.000	4.000	3.000
54	0	2.000	1.000	2.000	3.000	2.000	3.000	5.000	4.000	2.000	4.000	1.000	3.000	NaN	3.000	2.000	5.000	4.000	3.000	3.000	2.000	5.000
55	0	3.000	3.000	5.000	3.000	4.000	3.000	1.000	3.000	4.000	2.000	1.000	3.000	2.000	4.000	3.000	4.000	4.000	4.000	2.000	5.000	4.000
56	1	3.000	3.000	2.000	5.000	4.000	3.000	3.000	3.000	2.000	3.000	3.000	2.000	4.000	2.000	4.000	2.000	4.000	1.000	2.000	2.000	2.000
57	1	3.000	3.000	2.000	3.000	3.000	5.000	2.000	4.000	3.000	3.000	4.000	2.000	3.000	3.000	4.000	3.000	2.000	4.000	4.000	2.000	3.000
58	1	2.000	3.000	2.000	5.000	4.000	2.000	4.000	3.000	1.000	3.000	3.000	4.000	2.000	5.000	4.000	2.000	4.000	2.000	3.000	4.000	2.000
59	0	3.000	4.000	4.000	5.000	NaN	4.000	3.000	3.000	3.000	3.000	3.000	5.000	1.000	2.000	4.000	4.000	4.000	4.000	3.000	4.000	2.000
60	0	2.000	3.000	4.000	4.000	2.000	4.000	3.000	1.000	3.000	3.000	3.000	3.000	3.000	1.000	3.000	3.000	2.000	3.000	3.000	5.000	3.000
61	1	3.000	3.000	3.000	1.000	3.000	3.000	2.000	3.000	5.000	5.000	5.000	2.000	4.000	3.000	2.000	3.000	2.000	4.000	2.000	1.000	5.000
62	0	1.000	5.000	3.000	4.000	3.000	3.000	2.000	4.000	3.000	4.000	6.000	5.000	3.000	2.000	2.000	4.000	3.000	4.000	3.000	3.000	2.000
63	0	3.000	3.000	2.000	4.000	4.000	4.000	2.000	3.000	1.000	5.000	2.000	3.000	3.000	4.000	5.000	5.000	2.000	4.000	4.000	5.000	2.000
64	1	3.000	2.000	3.000	3.000	2.000	3.000	4.000	3.000	2.000	3.000	4.000	2.000	3.000	2.000	1.000	4.000	4.000	3.000	1.000	3.000	4.000
65	1	3.000	22.000	NaN	3.000	2.000	2.000	3.000	2.000	3.000	4.000	1.000	3.000	4.000	1.000	3.000	2.000	6.000	4.000	1.000	3.000	3.000
66	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
67	1	2.000	2.000	4.000	3.000	4.000	3.000	3.000	2.000	2.000	2.000	4.000	4.000	3.000	3.000	2.000	6.000	2.000	3.000	4.000	3.000	3.000
68	0	3.000	2.000	3.000	3.000	3.000	2.000	3.000	1.000	3.000	4.000	2.000	2.000	4.000	3.000	4.000	3.000	4.000	3.000	3.000	3.000	3.000
69	1	3.000	4.000	2.000	3.000	2.000	3.000	3.000	2.000	3.000	4.000	3.000	2.000	3.000	4.000	3.000	3.000	2.000	3.000	4.000	3.000	2.000
70	0	4.000	3.000	5.000	1.000	3.000	3.000	3.000	3.000	4.000	3.000	4.000	3.000	4.000	4.000	3.000	4.000	4.000	4.000	1.000	2.000	2.000
